,id,bedrooms,beds,accommodates,latitude,longitude,number_of_reviews,review_scores_rating,host_identity_verified,host_is_superhost,reviews_per_month,host_listings_count,amenities_count,instant_bookable,reviews_per_month,predicted_price
4714,10004773,1.0,1.0,2,52.3464,4.84931,3,93.0,1,0,0.06,1.0,12,0,0.06,104.89357
14328,30545791,2.0,2.0,4,52.36012,4.80655,13,97.0,1,1,0.77,1.0,38,0,0.77,189.1071
18714,45539791,1.0,1.0,2,52.3881,4.91438,0,0.0,1,0,0.0,0.0,5,1,0.0,98.6233
7510,15285356,0.0,2.0,4,52.36516,4.90911,6,92.0,0,0,0.14,1.0,7,0,0.14,137.84596
4939,10582203,4.0,4.0,4,52.35752,4.93545,23,97.0,1,0,0.43,1.0,47,0,0.43,273.61148
4809,10181220,1.0,1.0,2,52.34619,4.91214,14,96.0,1,0,0.24,1.0,10,0,0.24,104.916275
2260,4802024,1.0,2.0,4,52.38465,4.87522,2,90.0,1,0,0.03,1.0,10,0,0.03,142.07765
18244,43965342,2.0,4.0,4,52.35815,4.92001,0,0.0,1,0,0.0,1.0,17,1,0.0,247.93724
5797,12697504,1.0,1.0,2,52.36876,4.8823,16,100.0,1,0,0.31,1.0,21,0,0.31,173.53871
16612,38715565,1.0,1.0,2,52.38789000000001,4.87879,5,92.0,0,0,0.42,40.0,4,0,0.42,85.84593
11982,23747999,1.0,1.0,2,52.34143,4.9035,11,98.0,0,0,0.36,1.0,19,0,0.36,127.82906
14903,32624973,1.0,1.0,2,52.38444000000001,4.90335,52,88.0,1,0,3.06,12.0,4,1,3.06,49.71889
15829,36055971,4.0,4.0,4,52.39197,4.93446,2,100.0,1,0,0.13,41.0,14,0,0.13,246.09981
13500,27938996,2.0,2.0,4,52.35795,4.8597,1,0.0,0,0,0.04,1.0,10,1,0.04,214.19673
14007,29673428,2.0,2.0,3,52.3846,4.85749,8,88.0,1,0,0.35,85.0,22,1,0.35,281.61182
6394,13544943,1.0,1.0,2,52.35429,4.88802,6,97.0,0,0,0.12,1.0,12,1,0.12,141.94218
1399,2955565,2.0,1.0,2,52.34703,4.8735,10,98.0,1,0,0.13,1.0,16,0,0.13,142.19025
15208,33735084,2.0,2.0,4,52.36097,4.8535900000000005,4,95.0,1,0,0.23,1.0,13,0,0.23,169.38734
42,80635,1.0,1.0,1,52.37876,4.89264,218,95.0,1,0,1.87,3.0,21,1,1.87,133.52779
3568,7552387,1.0,1.0,2,52.38394,4.87197,13,97.0,1,0,0.21,1.0,2,0,0.21,110.125374
10921,21511592,1.0,1.0,2,52.34166,4.90418,1,80.0,0,0,0.03,1.0,7,0,0.03,105.57424
