,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
0,0,2818,1,1,1.0,2.0,2,278,98.0,1.98,25,1.0,1,1.98,59,102.50865783832073
1,3,27886,1,1,1.0,1.0,2,219,99.0,2.05,23,1.0,1,2.05,138,104.65662407912002
2,5,29051,1,1,1.0,1.0,1,481,95.0,4.13,16,2.0,0,4.13,55,40.42042966119402
3,8,43109,0,1,2.0,4.0,4,60,98.0,5.03,9,0.0,0,5.03,211,139.0367588052408
4,14,50515,0,1,3.0,3.0,6,17,95.0,0.22,13,1.0,0,0.22,115,251.34388470382618
5,17,52490,0,1,1.0,1.0,2,102,92.0,0.84,19,1.0,1,0.84,75,116.55835014015832
6,19,53671,0,1,1.0,1.0,2,309,91.0,2.67,14,1.0,1,2.67,100,84.34010517393281
7,30,64769,0,1,3.0,6.0,4,27,97.0,0.23,23,1.0,0,0.23,450,210.28893456445218
8,31,67841,0,1,1.0,1.0,2,16,94.0,0.19,17,3.0,0,0.19,106,124.07153604862036
9,34,69042,0,1,1.0,1.0,2,154,91.0,1.34,18,2.0,0,1.34,170,108.82675073203924
10,35,70598,1,0,1.0,1.0,2,108,95.0,1.94,16,1.0,0,1.94,40,100.51704333660155
11,38,75444,1,1,1.0,1.0,2,324,94.0,2.84,19,3.0,1,2.84,70,88.7071244068207
12,41,76668,1,1,2.0,2.0,4,64,97.0,1.22,25,1.0,0,1.22,165,189.76954323976616
13,42,80635,0,1,1.0,1.0,1,218,95.0,1.87,21,3.0,1,1.87,109,81.85267508910033
14,46,84057,0,1,1.0,1.0,2,94,95.0,0.83,29,30.0,1,0.83,127,149.14878365582229
15,47,91535,0,0,1.0,1.0,2,44,95.0,0.39,31,1.0,1,0.39,95,138.49829316999444
16,50,107195,0,1,1.0,1.0,2,37,95.0,0.33,19,1.0,1,0.33,150,123.79736027430992
17,54,130390,0,1,1.0,1.0,2,29,97.0,0.26,5,1.0,0,0.26,80,104.13483027889481
18,57,141708,1,1,2.0,2.0,3,86,95.0,0.76,15,2.0,0,0.76,145,153.4126726670496
