,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,latitude,longitude,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month,price
0,2818,1,1,1.0,2.0,2,52.36575,4.94142,278,98.0,1.98,25,1.0,1,1.98,$59.00 
1,20168,0,1,1.0,1.0,2,52.36424,4.89396,340,89.0,2.63,16,2.0,1,2.63,$236.00 
2,25428,1,0,1.0,1.0,3,52.37297,4.88339,5,100.0,0.15,28,2.0,0,0.15,$125.00 
3,27886,1,1,1.0,1.0,2,52.387609999999995,4.8918800000000005,219,99.0,2.05,23,1.0,1,2.05,$138.00 
4,28871,1,1,1.0,1.0,2,52.36719,4.8909199999999995,336,97.0,2.72,14,2.0,0,2.72,$75.00 
5,29051,1,1,1.0,1.0,1,52.36773,4.89151,481,95.0,4.13,16,2.0,0,4.13,$55.00 
6,31080,0,1,3.0,3.0,4,52.35132,4.848380000000001,32,95.0,0.29,21,1.0,0,0.29,$219.00 
7,41125,1,1,1.0,1.0,3,52.37891,4.88321,89,96.0,0.74,27,1.0,0,0.74,$160.00 
8,43109,0,1,2.0,4.0,4,52.375370000000004,4.88932,60,98.0,5.03,9,0.0,0,5.03,$211.00 
9,44129,0,1,1.0,1.0,3,52.38071,4.8861,177,98.0,1.43,33,10.0,0,1.43,$115.00 
10,46386,0,1,1.0,1.0,2,52.352470000000004,4.90825,3,93.0,0.02,17,1.0,0,0.02,$150.00 
11,47061,1,1,2.0,2.0,3,52.36799,4.87447,182,96.0,1.48,25,1.0,0,1.48,$140.00 
12,49552,1,1,2.0,2.0,3,52.38028,4.89089,368,98.0,3.04,39,1.0,0,3.04,$154.00 
13,49790,0,0,2.0,2.0,4,52.36266,4.86103,103,99.0,0.9,14,0.0,0,0.9,$250.00 
14,50515,0,1,3.0,3.0,6,52.37632,4.8397,17,95.0,0.22,13,1.0,0,0.22,$115.00 
15,50518,1,1,1.0,1.0,2,52.38201,4.87865,112,96.0,1.15,18,1.0,1,1.15,$120.00 
16,50523,1,1,1.0,1.0,2,52.36841,4.88413,306,97.0,2.57,17,1.0,0,2.57,$96.00 
